document_id,page_no,features,tech_debt,security,arch
1122,8,Network Protocol: HTTP,0,1,0
1122,8,OS: Windows 8 / 8.1 / 10 (64-bit OS required),0,0,0
1122,8,OS: Windows 7  (64-bit OS required),1,0,0
1122,8,Memory: 4 GB RAM,0,0,1
1122,9,Graphics: NVIDIA GeForce GTX 750Ti(2 GB),0,0,0
1122,9,Storage: 10 GB ,0,0,1
1233,12,Network Protocol: HTTPS,0,0,0
1233,12,OS: Windows 7 (64-bit OS required),1,0,0
1233,12,OS: Windows  8 / 8.1 / 10 (64-bit OS required),0,0,0
1233,12,Graphics: NVIDIA GeForce GTX 1060 (3 GB),0,0,0
1233,12,Storage: 50 GB,0,0,0
1340,5,Storage: 5 GB,0,0,1
1340,5,Memory: 6 GB RAM,0,0,1
1340,5,AMD FX-4350 4.2 GHz,0,0,1
1340,5,OS: Windows  8 / 8.1 / 10 (64-bit OS required),1,0,0
1891,8,OS: WINDOWS 7,1,0,0
1891,8,Storage: 105 GB Storage,0,0,0
1891,8,Memory: 6 GB RAM,0,0,1
1891,8,NVIDIA GeForce GTX 660 2GB or GTX 1050 2GB,0,0,0
2003,10,Network Protocol: HTTP,0,1,0
2003,11,OS: Windows 8 / 8.1 / 10 (64-bit OS required),0,0,0
2003,11,OS: Windows 7  (64-bit OS required),1,0,0
2003,11,Video NVIDIA GeForce GTX 970 4GB or GTX 1060 6GB,0,0,0
2003,11,MD R9 390 8GB Memory 8 GB RAM,0,0,1
2003,11,Storage: 105 GB Storage,0,0,0
2340,20,Network Protocol: HTTP,0,1,0
2340,20,OS: Windows 7  (64-bit OS required),1,0,0
2340,20,OS: Windows  8 / 8.1 / 10 (64-bit OS required),0,0,0
2340,20,"Intel Core i5-4460, 3.20 GHz",0,0,0
2340,20,AMD FX-6300,0,0,1
2340,21,AMD Radeon R7 260x (VRAM 2GB),0,0,1
2340,21,Storage: 30 GB Storage,0,0,1
2500,6,Network Protocol: HTTPS,0,0,0
2500,6,OS: Windows  8 / 8.1 / 10 (64-bit OS required),1,0,0
2500,6,OS: WINDOWS 7,1,0,0
2500,6,NVIDIA GeForce GTX 1060 (VRAM 3GB),0,0,0
2500,6,AMD Radeon™ RX 570 (VRAM 4GB),0,0,1
2500,7,Storage: 30 GB Storage,1,0,0
2600,19,Network Protocol: HTTP,0,1,0
2600,19,Windows 7 64-bit,1,0,0
2600,19,Memory: 4 GB RAM,0,0,1
2600,19,AMD Radeon HD 7950,0,0,1
2600,19,Storage: 25 GB Storage,0,0,1
2700,2,"Windows 8 64-bit, Windows 10 64-bit",0,0,0
2700,2,Intel Core i5-2500K,0,0,0
2700,2,AMD Ryzen 5 1400,0,0,1
2700,2,Memory: 8 GB RAM,0,0,0
2700,2,Storage: 25 GB Storage,0,0,1
2700,2,NVIDIA GeForce GTX 970,0,0,0
